"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Annual mean mcg/m3","Summer mean mcg/m3","Winter mean mcg/m3"
"2017","Borough","4","1","4","Queens","Queens","Queens","7.2","8.8","8.0"
"2017","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","7.5","9.1","7.9"
"2017","Borough","5","1","5","Staten Island","Staten Island","Staten Island","6.8","8.1","7.1"
"2016","Citywide","1","0","-","-","New York City","New York City","7.4","8.1","8.0"
"2016","Borough","3","1","3","Manhattan","Manhattan","Manhattan","9.0","9.5","9.4"
"2016","Borough","1","1","1","Bronx","Bronx","Bronx","7.8","8.3","8.4"
"2016","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","7.8","8.3","8.4"
"2016","Borough","4","1","4","Queens","Queens","Queens","7.2","7.8","7.6"
"2016","Borough","5","1","5","Staten Island","Staten Island","Staten Island","6.8","7.8","7.5"
"2015","Citywide","1","0","-","-","New York City","New York City","8.6","9.4","9.1"
"2015","Borough","3","1","3","Manhattan","Manhattan","Manhattan","10.2","10.8","10.9"
"2015","Borough","1","1","1","Bronx","Bronx","Bronx","9.2","9.9","10.2"
"2015","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","8.7","9.5","9.0"
"2015","Borough","4","1","4","Queens","Queens","Queens","8.3","9.2","8.9"
"2015","Borough","5","1","5","Staten Island","Staten Island","Staten Island","7.7","8.7","8.4"
"2014","Citywide","1","0","-","-","New York City","New York City","8.9","8.5","11.9"
"2014","Borough","3","1","3","Manhattan","Manhattan","Manhattan","10.8","10.3","14.1"
"2014","Borough","1","1","1","Bronx","Bronx","Bronx","9.3","8.8","12.5"
"2014","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","9.1","8.8","11.9"
"2014","Borough","5","1","5","Staten Island","Staten Island","Staten Island","8.4","7.8","11.8"
"2014","Borough","4","1","4","Queens","Queens","Queens","8.6","8.2","11.2"
"2013","Citywide","1","0","-","-","New York City","New York City","8.6","10.2","10.3"
"2013","Borough","3","1","3","Manhattan","Manhattan","Manhattan","10.7","11.8","12.8"
"2013","Borough","1","1","1","Bronx","Bronx","Bronx","9.1","10.4","11.2"
"2013","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","8.7","10.3","10.3"
"2013","Borough","4","1","4","Queens","Queens","Queens","8.4","10.1","9.9"
"2013","Borough","5","1","5","Staten Island","Staten Island","Staten Island","8.0","9.3","9.7"
"2012","Citywide","1","0","-","-","New York City","New York City","8.9","10.3","9.2"
"2012","Borough","3","1","3","Manhattan","Manhattan","Manhattan","10.9","11.8","11.3"
"2012","Borough","1","1","1","Bronx","Bronx","Bronx","9.5","10.5","9.9"
"2012","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","9.0","10.4","9.2"
"2012","Borough","4","1","4","Queens","Queens","Queens","8.6","10.1","8.8"
"2012","Borough","5","1","5","Staten Island","Staten Island","Staten Island","8.3","9.9","8.4"
"2011","Citywide","1","0","-","-","New York City","New York City","10.1","11.5","12.6"
"2011","Borough","3","1","3","Manhattan","Manhattan","Manhattan","11.9","12.9","14.8"
"2011","Borough","1","1","1","Bronx","Bronx","Bronx","10.8","11.7","13.8"
"2011","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","10.2","11.6","12.6"
"2011","Borough","4","1","4","Queens","Queens","Queens","9.8","11.2","12.1"
"2011","Borough","5","1","5","Staten Island","Staten Island","Staten Island","9.4","11.1","11.7"
"2010","Citywide","1","0","-","-","New York City","New York City","9.5","11.8","9.9"
"2010","Borough","3","1","3","Manhattan","Manhattan","Manhattan","11.6","13.4","12.0"
"2010","Borough","1","1","1","Bronx","Bronx","Bronx","10.1","12.1","10.9"
"2010","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","9.7","12.0","10.0"
"2010","Borough","4","1","4","Queens","Queens","Queens","9.2","11.5","9.4"
"2010","Borough","5","1","5","Staten Island","Staten Island","Staten Island","8.8","11.4","9.1"
"2009","Citywide","1","0","-","-","New York City","New York City","10.4","10.7","12.9"
"2009","Borough","3","1","3","Manhattan","Manhattan","Manhattan","12.6","12.6","15.3"
"2009","Borough","1","1","1","Bronx","Bronx","Bronx","11.0","10.7","14.1"
"2009","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","10.5","10.9","12.9"
"2009","Borough","4","1","4","Queens","Queens","Queens","10.0","10.3","12.6"
"2009","Borough","5","1","5","Staten Island","Staten Island","Staten Island","9.8","10.5","11.8"
